Comment_raw,Sentiment
"Bà coăn, ai bị ckầm kảm sau khi nghe bài này. Gọi cho tôi, tôi không chữa mà ckầm kảm hơn các bạn :))))",Neg
Bad music,Neg
Bad yawns,Neg
bài dở ẹc zị trời,Neg
bài gì có 1 khúc hát hoài,Neg
"Bài hát bị “dính” quá nhiều lỗi nhỏ, làm mất đi tính chuyên nghiệp.",Neg
"Bài hát chân chính, nghệ sĩ tử tế không cần phải ra mấy thể loại nhạc gợi dục với ý đồ câu view thế này",Neg
"Bài hát chẳng khác gì tiếng động vật trong rừng, hỗn độn và rối ren.",Neg
"Bài hát chỉ biết đá xéo, chả làm nổi bật được điểm gì.",Neg
Bài hát chứng minh cho câu: Ch.ửi Như Hát Hay  là đây chứ đâu,Neg
Bài hát có nhiều chỗ “khó nghe” do lỗi kỹ thuật chưa được khắc phục.,Neg
Bài hát của chị rất hay vừa xàm vừa ngang . Chúc mừng chị,Neg
"Bài hát cực kỳ dở, người hát cực kỳ tệ, thua xa mấy bà hàng xóm tôi hát karaoke nữa.",Neg
Bài hát đã làm mình hết táo bón! Thanks.,Neg
Bài hát gì hết nói. Lúc nào cũng phải dâm dâm mới chịu.MV bình thường không được????,Neg
bài hát hay hơn khi không có giọng chị :D,Neg
Bài hát hay mà MV phá hoại nhiều quá. Ko hiểu sao lại đâm chết con bạch tuộc vậy,Neg
bài hát hay nhất là khi đc tắt tiếng,Neg
"Bài hát không có yếu tố gây bất ngờ, nghe xong không để lại ấn tượng.",Neg
Bài hát không đem lại cảm xúc gì đặc biệt cho người nghe.,Neg
Bài hát không tạo được điểm nhấn đặc biệt so với các sản phẩm khác.,Neg
Bài hát lời đã dở thì cái beat cũng phải cho chất mới bù đc chứ thế này thì ối zồi ôi,Neg
"Bài hát này bị coi là một trong những thảm họa âm nhạc năm 2022 , đã thế vocal của Chi Pu quá tệ , mãi ko cải thiện",Neg
"Bài hát này chỉ để làm trend thôi, hồn đâu?",Neu
"Bài hát này chỉ là kiểu copy, đâu có tâm.",Neu
"Bài hát này đã cứu rỗi bạn tôi. Nó bị cụt tay, nhưng mà sau khi nghe bài này xong nó mọc tay ra và bấm nút pause",Neg
"Bài hát này giống như trò đùa của ""âm nhạc"", đau tai và thiếu chất.",Neg
"bài hát này nghe có vẻ vội vàng, thiếu sự chăm chút từ đầu đến cuối.",Neg
"Bài hát này như đang ""đá xéo"" chính nó, rối ren và hỗn độn cực kỳ.",Neg
"Bài hát này sao lại nổi, chỉ nghe đc tiếng rác!",Neg
Bài hát này thiếu sự đầu tư cả về mặt nghệ thuật lẫn kỹ thuật.,Neg
"Bài hát này tự xưng ""đột phá"", nhưng chất lượng thì hoàn toàn thất bại.",Neg
"Bài hát này tự xưng là ""hit"", nhưng chán vl.",Neg
"Bài hát này vừa đê tiện vừa tự phụ, không xứng đáng với bất cứ lời khen nào.",Neg
Bài hát như còn gà,Neg
bài hát quá dam,Neg
Bai hát tao lao thât chứ,Neg
"Bài hát tự gọi hot, nhưng đâu có chút chất nào hết.",Neg
Bài hát tự hào mà tai tui thì cứ chảy máu từng giây.,Neg
Bài hát vớ va vớ vẩn chả có cái ý nghĩa j,Neg
Bài hát vớ vẩn,Neg
bài hay quá sắp được vào thế giới động vật rồi cố lên chị đẹp,Neg
Bài này bị mờ đi bởi những chi tiết ko cần thiết.,Neg
bài này cảm thấy nữ chính bị ảo tưởng,Neg
"Bài này chán quá, nghe mà buồn.",Neg
Bài này chỉ để “hít mùi” trend thôi mà.,Neg
"Bài này chỉ để dính trend, nghệ thuật đâu ra.",Neg
Bài này chỉ để trông trendy thôi.,Neg
Bài này chỉ là tiếng ồn vô hồn.,Neg
Bài này cũng đành hot? Chỉ nghe là dở!,Neg
"Bài này cũng ở cái tầm đấy , mà là “ tầm bậy “",Neg
"bài này đáng lẽ phải ra hồi đầu tháng 8 âm, chứ gần trung thu 2-3 ngày mới ra ko kịp nghe ko kịp hit thì đã hết trung thu, uổng",Neg
Bài này đen tối quá,Neg
bài này flop chắc,Neg
Bài này HAY quá nên không muốn nghe lần nào nữa :),Neg
Bài này hot quá? Nó chỉ là rác miếng thôi mà!,Neg
"Bài này kể về trải nghiệm của 1 người đi đến quán Sashimi, và từ trải nghiệm đó lồng ghép quan điểm về tình yêu, cách giữ lửa cho tình yêu.. đơn giản vậy thôi mà nhiều người dốt quá nhỉ.",Neg
Bài này ko đáng để nghe thêm lần 2.,Neg
Bài này là mớ hỗn độn,Neg
"Bài này mà đc hot, t ko hiểu sao lại dc ưa chuộng!",Neg
Bài này mà đi hát karaoke tìm chắc k ra mà có ra chắc k ai dám hát,Neg
Bài này mà hot rồi đem đi diễn show khắp nơi chắc ông nào đó ở nhà ngồi khóc quá :))),Neg
"Bài này mà nghe, chẳng là tệ thôi!",Neg
"Bài này mà nghe, sao lại dc ca ngợi, chỉ nghe rác thôi!",Neg
"Bài này mà nghe, sao lại dc ưa chuộng, quá rác luôn!",Neg
Bài này mấy đứa ảo à? Dở dở!,Neg
Bài này nghe kì cục vậy,Neg
"Bài này nghe như bị lỗi hệ thống, không kết nối được cảm xúc.",Neg
Bài này như rác rưởi,Neg
bài này sao hot? Rác rưởi!,Neg
"Bài này sao mà còn có view, cứ là rác vậy!",Neg
Bài này thật là thất bại!,Neg
"Bài này thật sự là xấu, thật là rác!",Neg
"Bài này thiếu hết hồn, nghe mà buồn.",Neg
"Bài này tự xưng ""hot"" nhưng chất lượng = 0.",Neg
Bài này tự xưng nghệ thuật nhưng chẳng chạm được vào trái tim ai.,Neg
Bài này xứng đáng nằm ở danh sách những bài thất bại.,Neg
Bài này? Rác miếng!,Neg
"Bài người ta tuy thảm họa nhưng ít ra giai điệu lyrics,..... tự sáng tác còn đỡ hơn ai kia. Đã làm một nồi lẩu thập cẩm r còn kinh khủng hơn thế....",Neu
Bài tủ của tôi,Pos
"Bạn hát hay, xinh đẹp nhưng CÁCH HÁT CỨ LƠ LỚ NHƯ TÂY Í, không giống người Việt.",Neg
Bạn là ng nổi tiếng bạn ko lên ra mv kiểu khiêu gợi thế này . những bạn trẻ từ 14 đến 18 rất dễ bị ảnh hưởng từ phong cách đến lối sống . mv như có sự khiêu gợi thèm muốn,Neg
Bạn nên làm diễn viên thì tốt hơn,Neg
Bandle 1/6 What is that interface Bandle T_T It's ugly af,Neg
Barely any passion in the performance.,Neg
"Barely any talent here, tbh.",Neg
bắt tai lắm b ạ,Pos
bậy thía ;-;,Neg
Bbi của t đang ở bên ng khác,Neg
Be careful with some people who will steal your music and change the name again lol. Anyway great song,Neg
Be completely honest and there’s only like three or four songs. I don’t like on this whole list.,Neg
Beat bài này hay mà lyrics 3 chấm thật sự,Neg
Beat của bài này không hề mang đến cảm hứng nào cả.,Neg
"Beat dở tệ, lời ca rối như mớ hỗn độn không đích.",Neg
beat hay,Pos
beat hay hát cũng cuốn mà cái lyrics ... nói chung là chê,Neg
"beat hay vl, tắt phần vocal là mv toẹt dời lun",Neg
"beat hay, trang phục đầu tư, visual đẹp. Mỗi lyrics hơi phèn",Neg
"Beat không đung đưa, không cuốn được ai.",Neu
"Beat này chán đến mức làm tai tui phải ""báo động đỏ"".",Neg
"Beat này dở chán, như người thiếu thốn mọi ý tưởng.",Neg
"Beat này là 1 bài của nhật,đạo cái lời k thấm đc ...",Pos
beat này mà là nhạc yoasobi thì đã hay rồi,Neg
"Beat này vỡ vụn đến mức không chấp nhận nổi, tai tui kêu cứu!",Neg
"Beat này vỡ vụn, nghe hoài đau đầu không chịu.",Neg
"Beat quá máy móc, thiếu linh hồn quá.",Neg
"Beat quá nhạt, chẳng mang lại gì mới.",Neg
"Beat quá yếu, nghe chỉ như tiếng ồn.",Neg
"Beat rối ren, lời ca dở tệ – tai tui đã tố cáo ngay từ giây đầu tiên.",Neg
"Beat và lời ca vừa sao chép vừa lộn xộn, tự hào ""cool"" nhưng lại nhạt nhẽo.",Neg
Bet he lives on that mattress,Neu
bị ốm,Neg
Bị thế đấy anh phúc chỉ có hát thôi,Neg
Biết bả hát cái gì chết liền,Neg
blatant copy of a well known song. be original,Neu
bỏ cái phần rap của ricky star ra còn hay hơn. vô rap nó chán,Neg
Bộ có gì hay hả???,Neg
bộ hết nhạc để nghe hả,Neg
Bộ hết nhạc phát hành hả?,Neg
Bộ ổng khùng hả 2 giờ sáng để ng ta ngủ,Neg
bộ thời nay làm ca sĩ dễ dàng quá phải không,Neg
bỏ tiên cookie ra đúng chỉ còn là cái mác lại còn kết hợp với nhạc phèn TDT thì flop đúng rồi ko ai đái 2 lần 1 bài bú fame King Of Vpop được đâu ko thực lực sao so sánh đc,Neg
Bọn sâu bít trẻ nghé ^^,Neg
BOOM BOOM POW?! FANCY?! MY HUMPS?! ALL ABOUT THAT BASS?! GIRLFRIEND?! WHAT KINSA SIN IS THIS LIST,Neg
Boti boti is more dangerous.....,Neg
boy one champ =))) được 1 bài hay xong mấy bài khác trung bình khá =)),Neg
brainbrot first gen (my opinion),Neg
Bro all these are great songs like tf,Neg
"Bro cooked, but burnt the food, and we weren't hungry. My arms were paralyzed, but they started moving to turn this song off. I'd play this song at a party, when I want everyone to leave. I'd use this as my alarm, so I wake up before it. I'd play this song in an argument, when I want the other person to shut up. This song is very good, if the volume is turned all the way down. Bro cooked, but froze the food while in a desert. I had to cancel YouTube Premium so I could enjoy the ads. The best part of this song were when he stopped singing. Imagine posting the worst song, but it gets 51K likes. I died in Minecraft then this song played, so I got revived to turn this song off. I'd throw any speaker that plays this song, because it's so horrendous.",Neg
Bro does not know how to sing,Pos
Bro got his hairline from -300bc,Neg
"Bro how is the YMCA or Ice, Ice Baby a bad song",Neg
Bro i am crying rn i am feeling this soo hard :c,Neg
bro is just being a menace to society in the whole music video bro,Neg
Bro is riding on nothing,Neg
Bro is shited,Neg
Bro is shitting 0:06,Pos
Bro is struggling to poop in washroom,Neg
"Bro NOT FAIR. It has the original ting until Bandle 3, where you can guess it, but otherwise no way.",Neg
Bro one of the teachers in my first period hall plays Friday song every Friday and its so annoying brooo,Neg
Bro so annoying when I searched annoying songs he was the first one,Neg
Bro sounds like Goofy,Neu
Bro the last time I watched this I was in 2nd grade now I’m in 7th and this is cringe,Neu
Bro thought he was a really good but it went wrong,Neg
bro what it is,Neg
Bro who let goofy in the studio is,Neg
Bro WTF,Neg
bro you is a dieng goat or trash truck,Neg
"Bro, so matching when Iâ€™m poop",Neg
Bro.crank that is good,Neg
bruh I've been in comma and I woke up to turn this shit off,Neg
Bruh pls delete this video,Neg
Bruh why is he hurting girls.,Neg
"Bruh, how did this become a hit? It's totally cringey!",Neg
"Bruh, I’ve heard better tracks.",Neg
"Bruh, this song is basic AF!",Neg
"Bruh, why is this song famous? It’s literally awful!",Neg
Bruh???????,Neg
bùa vệ sinh giày ở Extrim vệ sinh giày sạch như mới,Neu
Bực bội,Neg
bực mình,Neg
Buồn cái trên Apple music ko có lyric huhu,Neg
But if it's meant to be annoying then it can't be the most annoying song because it's funny. Look What You Made Me Do is more annoying to me because a bunch of people actually like it.,Neg
"Cả bài hát nghe đc đúng câu ""chúng em có sashimi"".",Neg
Cả một ekip công ty thế kia mà viết cái lời ko thể ngu học hơn =))),Neg
Ca sĩ cần cải thiện hơn về khả năng điều chỉnh giọng hát khi biểu diễn.,Neg
Ca sĩ cần luyện tập thêm để cải thiện khả năng truyền tải cảm xúc.,Neg
"Ca sĩ có thực tài thì dùng thực tài chinh phục khán giả, còn ca sĩ ko có thực tài thì tự mình tin mình là ca sĩ :))()",Neu
"Ca từ có vẻ chỉ là những câu khẩu hiệu, không truyền đạt được cảm xúc thật.",Neg
"Ca từ không có chiều sâu, khiến người nghe cảm thấy thiếu kết nối.",Neg
"Ca từ quá sáo rỗng, thiếu chiều sâu và thông điệp.",Neg
"Các phần chuyển đoạn không mượt mà, khiến bài hát bị gián đoạn.",Neg
"Cách phối khí chưa hợp lý, làm mất đi sự hài hòa của tổng thể.",Neg
"Cách phối khí khiến một số đoạn bị quá âm, mất đi sự rõ ràng.",Neg
cách thưởng thức MV này trọn vẹn = bật sáng màn hình + full phân giải + tắt âm,Neg
"Cách trình bày của ca sĩ thiếu sự tự tin, làm bài hát mất đi sức sống.",Neg
cái bài này lần nào nghe đi nghe lại cũng thấy buồn bực mình ghê,Neg
Cái bài vớ vẩn thật sự,Neg
cái cảnh ném đồ vào ng ô nào ác thế cho cả viên đá vào mặt ạ có bt thương hoa tiếc ngọc là gì k,Neg
"Cái câu ""Your husband is G.A.Y"" thấy vãi chửuong quá",Neg
cái con này nó còn làm khùng làm điên đến bao giờ nữa vậy?,Neg
cái duy nhất t ko thích ở bài này là cách phát từ sashimi hoy,Neu
Cái lề gì thốn,Neg
"Cái MV đẹp vậy, đầu tư vậy mà Lời bài hát thì ối dời ơi luôn!!!",Neg
Cái này bị xóa là đúng,Neg
Cái này mà là nhạc á???,Neg
Cái nhà j tệ hơn cái chuồng lợn:),Neg
Cái nhạc vậy mà 22 triệu like chả hiểu nổi,Neg
Cái xe 1 triệu đô của hiền giờ đâu rôi ạ?,Neu
cảm giác giọng ricky k hợp,Neg
Cảm giác như tác phẩm này chỉ để “đi theo mốt” mà thiếu cá tính riêng.,Neg
Cảm ơn khán giả đã cam đảm nghe nó hát,Neg
Cấm trẻ em dưới 18 tuổi,Neg
cạn lời,Neg
can nha nhu nha ma ay,Neg
"cần pháp luật vào cuộc, không chịu nổi",Neu
can we import korean women???,Neg
Can’t even find a redeeming moment here.,Neu
Càng ngày càng vô nghĩa,Pos
Cạo lông nách cho sạch đi tưởng người ta ấy sao,Neg
Care là quan tâm tại s nó ghi là nói dối,Neg
"Câu chuyện ko đẹp, lời hong hay, từ ko hợp. Nhạc thì hay",Neu
Chả có ý nghĩa gì từ lời đến mv,Neg
chả hiêu nhạc nhẽo kiểu j nua,Neg
"Chả hiểu sao bài này lại hot, chỉ nghe tệ hoài!",Neg
Chả hiểu sao cổ xuý bikini thi hoa hậu ao làng các kiểu cho con cái đi học ở mĩ mà các anh chị cô chú nhà nước vẫn lên án những mv dễ thương như này . Quê vãi,Neg
"Chả hiểu, bài này ko có gì hay!",Neg
Cha Mew viết bài nào là xéo xắt bài nấy =))))),Neg
"Chà, bài này chỉ nghe là chất rác!",Neg
chắc có mình tôi thấy bài này hát như con c-- -bray spin off,Neg
chắc có mình tui thấy ...,Neg
Chắc có mỗi mình tuiii là nghe bài này như...,Neg
Chắc có mỗi t k hiểu nội dung 18+ chỗ nào cho đến khi đọc bình luận -.-,Neg
Chắc do từ kimochi của mấy má hay xem sẻ … chứ thấy bthg,Neg
Chắc mỗi tôi thấy đoạn rap của ricky star k hay !,Neg
Chán đến mức không biết nên nói sao.,Neg
"Chán lắm, đâu có gì hot.",Neg
"Chán ngấy kiểu đấy, như lạc vào cõi âm nhạc giả tạo.",Neu
"Chán ngấy, quá nhạt, bực lắm!",Neg
Chán với giọng hát và câu từ,Neg
chán)))))))::::^^^!,Neg
Chẳng biết hát cái gì nữa,Neg
chảng có gì bàng nhà tui,Neg
"Chào các bạn mình là nhân viên của quán cafe Phê La trên đường Kim Mã. Hứa danh dự với mọi người ai like cho mình bài viết này, mình sẽ spam bài này ở trong quán đến khi nào đạt TOP1 TRENDING THÌ THÔI.
Cùng nhau cho a Virus răng môi lẫn lộn nào anh em",Pos
"Chất âm rối như tiếng bò gò, không chút tinh tế.",Neg
"Chất quá, chất độc màu da cam :))",Neg
che long nach lam j,Neg
Chê nha. Muốn nói kimochi thì phải có giọng của mấy đứa con trai lớp mik,Neu
Chê.,Neg
"Chị Chi đừng nên đi hát, thật sự đấy! Nghe nó kỳ lắm…",Neg
Chỉ có hiệu ứng mà nội dung thì rỗng tuếch.,Neg
"Chỉ có vẻ bề ngoài trendy, bên trong trống rỗng.",Neg
Chị đăng gần trung thu quá nên qua trung thu dễ flop,Neg
Chi đẹp đó là điều k thể bàn cãi và she đã cố gắng luyện về thanh nhạc có điều kiểu trả lời phỏng vấn đề cao bản thân quá khiến khán giả ác cảm thôi,Neg
Chị khỉ linda,Neg
"Chị ko thấy xấu hổ thì để nữ giới chúng em xấu hổ nữa chị ạ. Không hiểu nhạc nhẽo video kiểu mẹ gì, em mời chị nằm ngang nằm dọc cho người ta ăn tươi nuốt sống chứ nóng mặt lắm chị ạ",Neg
Chỉ là con rối....,Neg
"chỉ là quay MV thôi, có cần sexy tới vậy ko =))",Neu
Chỉ là tiếng ồn được đóng gói lại thôi.,Neg
"Chị lên bài diss hater luôn đi chị ạ , thấy nhiều ng khịa chị ra vẻ trong lần sao nhập ngũ đấy ạ, lên diss luôn chị ơi show cả đoạn tin nhắn bọn nó cho máu",Pos
"Chỉ muốn nói là bài nhạc nhạc k có gì đặc biệt luôn . Phải chăng như “Mời anh vào team em” Masew làm rõ đỉnh , hoặc là “Talk to me” Triple D thì k có gì để bàn luôn . Giờ mấy bài mà mua nhạc kiểu chả có gì đặc biệt cx k quá hay . Mong Chi Pu quay lại với mấy bên music producer lần trước . Nhạc đang ổn mà quay ra mấy bài nghe chán lắm luôn ạ",Neg
"Chi nên phát âm đúng Sashimi ( tiếng việt gần giống xa shi mi ) , chứ cứ sha shi mi nghe nó không ra tên món 刺身 , không biết người khác sao chứ người Nhật hay ng học tiếng nhật nghe cứ thấy kỳ kỳ sao ý.",Neg
"Chỉ nghe mà thấy mệt mỏi, không chất lượng.",Neg
Chỉ nghe thôi cũng thấy mệt mỏi.,Neg
Chỉ nghe vài giây đã muốn skip ngay.,Neg
Chỉ nghe vài giây đã muốn tắt ngay.,Neg
"Chị ơi, em xin cảm ơn chị vì đã giải thoát em khỏi cơn táo bón đã hành hạ em suốt cả tháng nay, em cảm ơn chị nhiều ạ...:))",Neg
chi pu hát hay quá đếch hiểu bả hát cái mé j luôn,Neg
Chi pu ơi tao xin mày..đưng hát nữa..t xin m đấy,Neg
"Chi pu, let me ask you 8ne thing, how the fu you can call your self a artis. Cai giong hat của cháu, me, thật không biet nói gi hơn. Về nha, cháu ạ, di học, trước tien học làm người đã, sau đó mới có thế học làm artis được, và đặc biệt học làm sao để có một giọng hát trời phú, có hiểu không",Neg
Chỉ thích phần beat nhạc ... còn lyric thì thua,Neg
Chibu nên gắn liền với cây mic thịt thì hơn,Neg
chích điện t đi,Neu
Chính ra nhạc cuốn mà chỉ là lyrics và voice hơi bất ổn hoi,Neg
"Chipu nên qua nhật đóng phim 18+ may ra sẽ nâng tầm diễn viên và ca sĩ nổi tiếng,ca cái quái gì mà nghe chả hiểu,",Neg
Chipu nhạc đầu tư chỉnh chu rất tâm huyết làm nhạc,Neg
"Chipu xứng với Lệ rơi, cặp đôi N⁰1 ở VN",Neg
Chít mỏ kìa,Neg
Chịu,Neg
Chịu ko nghe tiếp được kể từ giây thứ 10,Neu
Chịu! như này cũng hát được!,Neu
chó nhà t sủa con hay hơn bài này,Neg
Chời ơi ta nói ghét cái bà kia ghê,Neg
Chồng của cưng là gay,Neg
Chữ SASHIMI phát âm quá sai nha=)),Neg
Chưa xoá video à. Lì lợm làm gì vậy?,Neg
chúc mừng chị đã vào team đáy xã hội,Neg
Chúc mừng Hứa Kim Tuyền đã có một bước dài trong sự nghiệp với bài hát này. Bước thụt dài.,Neg
Chúng mày làm sao chứ tao thấy mv bình thường chả có j mà gắn mác 18+ cả,Neg
"Chúng ta nợ Phương My một lời xin lỗi. Các MV ca nhạc bây giờ rác còn kinh khủng hơn rất nhiều,không những thế còn đạo nhái rất nhiều.",Neg
Chuyện gì đây? Bài này dở quá!,Neu
Cmt tiêu cực bị xoá hết rồi. Có lời khen cho đội ngũ haha,Pos
Có ai dám khen bài này không? Nó ko đc gì hết!,Neg
"Có ai giống tôi, nghe xong MV đ hiểu mình vừa nghe cái gì k ?",Neu
có ai hiểu j ko ạ mình thì ko nhe,Neg
Có ai mê cái chất rác này không? Vì t thấy quá tệ!,Neg
Có ai tán thưởng bài này ko? Vì t thấy nó chỉ toàn là chất rác!,Neg
"Có ai xem live xong lên đây nghe cho đỡ tức không. Hic
Thương Pháo.",Pos
