Comment_raw,Sentiment,Comment,Comments
"dở vl, không đáng nghe.",Neg,dở vl  không đáng nghe ,"['dở', 'vl', 'không', 'đáng', 'nghe']"
"vl, nghe đau tai.",Neu,vl  nghe đau tai ,"['vl', 'nghe', 'đau', 'tai']"
"Âm thanh hỗn độn, như mấy đứa xô lung tung ra luôn.",Neu,âm thanh hỗn độn  như mấy đứa xô lung tung luôn ,"['âm', 'thanh', 'hỗn', 'độn', 'như', 'mấy', 'đứa', 'xô', 'lung', 'tung', 'luôn']"
"Âm thanh hỗn loạn, nghe như mấy kẻ chơi nhạc bừa bãi.",Neg,âm thanh hỗn loạn  nghe như mấy kẻ chơi nhạc bừa bãi ,"['âm', 'thanh', 'hỗn', 'loạn', 'nghe', 'như', 'mấy', 'kẻ', 'chơi', 'nhạc', 'bừa', 'bãi']"
"Âm thanh này chẳng được khen, chỉ đáng phàn nàn suốt ngày.",Neg,âm thanh chẳng khen  chỉ đáng phàn nàn suốt ngày ,"['âm', 'thanh', 'chẳng', 'khen', 'chỉ', 'đáng', 'phàn', 'nàn', 'suốt', 'ngày']"
"Âm thanh này như bị đánh gãy, nghe đến tai đau luôn.",Neg,âm thanh như bị đánh gãy  nghe đến tai đau luôn ,"['âm', 'thanh', 'như', 'bị', 'đánh', 'gãy', 'nghe', 'đến', 'tai', 'đau', 'luôn']"
Âm thanh như đổ ra từ chiếc loa hỏng.,Neg,âm thanh như đổ chiếc loa hỏng ,"['âm', 'thanh', 'như', 'đổ', 'chiếc', 'loa', 'hỏng']"
"Âm thanh quá hỗn độn, như bị đánh bại bởi cơn bão không thương tiếc.",Neg,âm thanh quá hỗn độn  như bị đánh bại bởi cơn bão không thương tiếc ,"['âm', 'thanh', 'quá', 'hỗn', 'độn', 'như', 'bị', 'đánh', 'bại', 'bởi', 'cơn', 'bão', 'không', 'thương', 'tiếc']"
"Âm thanh quá tệ, so sánh ko nổi.",Neg,âm thanh quá tệ  so sánh ko nổi ,"['âm', 'thanh', 'quá', 'tệ', 'so', 'sánh', 'ko', 'nổi']"
ambulance type beat frrr,Neg,ambulance type beat frrr,"['ambulance', 'type', 'beat', 'frrr']"
Ăn shasimi xong rồi sướng à:)))),Neu,ăn shasimi xong rồi sướng à ,"['ăn', 'shasimi', 'xong', 'rồi', 'sướng', 'à']"
"Anaconda by Nicki Manaj is the worst song, but your song was pretty bad, too XDD It's a compliment.",Neg,anaconda nicki manaj worst song  song pretty bad  xdd a compliment ,"['anaconda', 'nicki', 'manaj', 'worst', 'song', 'song', 'pretty', 'bad', 'xdd', 'a', 'compliment']"
And don’t you dare stand up for him because it’s my opinion,Neg,don’t dare stand it’s opinion,"['don’t', 'dare', 'stand', 'it’s', 'opinion']"
and this was a edited guy attempting to make motorbike sounds,Neu,edited guy attempting make motorbike sounds,"['edited', 'guy', 'attempting', 'make', 'motorbike', 'sounds']"
And we cringed all night to the worst song ever...,Neg,cringed night worst song ever ,"['cringed', 'night', 'worst', 'song', 'ever']"
anh đi xa r :))),Neg,anh đi xa r ,"['anh', 'đi', 'xa', 'r']"
Anything by jusin beiber hes a cossall.......,Neg,anything jusin beiber hes a cossall ,"['anything', 'jusin', 'beiber', 'hes', 'a', 'cossall']"
ao tệ vậy mà cũng có ng khen z?,Neg,ao tệ vậy mà cũng ng khen z ,"['ao', 'tệ', 'vậy', 'mà', 'cũng', 'ng', 'khen', 'z']"
Are the worst songs in the room with us now?,Neg,worst songs room us ,"['worst', 'songs', 'room', 'us']"
Are we seriously promoting this mess? It's a major letdown!,Neg,seriously promoting mess  its major letdown ,"['seriously', 'promoting', 'mess', 'its', 'major', 'letdown']"
Atleast Nathan knows this is horrible and people with ear cancer can hear it just so they can turn it off.,Neg,atleast nathan knows is horrible and people ear cancer hear turn ,"['atleast', 'nathan', 'knows', 'is', 'horrible', 'and', 'people', 'ear', 'cancer', 'hear', 'turn']"
AVRIL LAVIGNE!? opinions invalid,Neg,avril lavigne   opinions invalid,"['avril', 'lavigne', 'opinions', 'invalid']"
"Bà coăn, ai bị ckầm kảm sau khi nghe bài này. Gọi cho tôi, tôi không chữa mà ckầm kảm hơn các bạn :))))",Neg,bà coăn  ai bị ckầm kảm sau nghe bài  gọi tôi  tôi không chữa mà ckầm kảm hơn bạn ,"['bà', 'coăn', 'ai', 'bị', 'ckầm', 'kảm', 'sau', 'nghe', 'bài', 'gọi', 'tôi', 'tôi', 'không', 'chữa', 'mà', 'ckầm', 'kảm', 'hơn', 'bạn']"
Bad music,Neg,bad music,"['bad', 'music']"
Bad yawns,Neg,bad yawns,"['bad', 'yawns']"
bài dở ẹc zị trời,Neg,bài dở ẹc zị trời,"['bài', 'dở', 'ẹc', 'zị', 'trời']"
bài gì có 1 khúc hát hoài,Neg,bài gì 1 khúc hát hoài,"['bài', 'gì', '1', 'khúc', 'hát', 'hoài']"
"Bài hát bị “dính” quá nhiều lỗi nhỏ, làm mất đi tính chuyên nghiệp.",Neg,bài hát bị “ dính ” quá nhiều lỗi nhỏ  làm mất đi tính chuyên nghiệp ,"['bài', 'hát', 'bị', '“', 'dính', '”', 'quá', 'nhiều', 'lỗi', 'nhỏ', 'làm', 'mất', 'đi', 'tính', 'chuyên', 'nghiệp']"
"Bài hát chân chính, nghệ sĩ tử tế không cần phải ra mấy thể loại nhạc gợi dục với ý đồ câu view thế này",Neg,bài hát chân chính  nghệ sĩ tử tế không cần phải mấy thể loại nhạc gợi dục ý đồ câu view thế này,"['bài', 'hát', 'chân', 'chính', 'nghệ', 'sĩ', 'tử', 'tế', 'không', 'cần', 'phải', 'mấy', 'thể', 'loại', 'nhạc', 'gợi', 'dục', 'ý', 'đồ', 'câu', 'view', 'thế', 'này']"
"Bài hát chẳng khác gì tiếng động vật trong rừng, hỗn độn và rối ren.",Neg,bài hát chẳng khác gì tiếng động vật rừng  hỗn độn rối ren ,"['bài', 'hát', 'chẳng', 'khác', 'gì', 'tiếng', 'động', 'vật', 'rừng', 'hỗn', 'độn', 'rối', 'ren']"
"Bài hát chỉ biết đá xéo, chả làm nổi bật được điểm gì.",Neg,bài hát chỉ biết đá xéo  chả làm nổi bật điểm gì ,"['bài', 'hát', 'chỉ', 'biết', 'đá', 'xéo', 'chả', 'làm', 'nổi', 'bật', 'điểm', 'gì']"
Bài hát chứng minh cho câu: Ch.ửi Như Hát Hay  là đây chứ đâu,Neg,bài hát chứng minh câu  ch  ửi như hát hay là đây chứ đâu,"['bài', 'hát', 'chứng', 'minh', 'câu', 'ch', 'ửi', 'như', 'hát', 'hay', 'là', 'đây', 'chứ', 'đâu']"
